service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773279,0,0,0,0,0,0,0,20190421,20190609
12773278,0,0,0,0,0,0,0,20190128,20190701
12773279,0,0,0,0,0,0,0,20190422,20190610
2773292,0,0,0,0,0,0,0,20190301,20190628
2773290,0,0,0,0,0,0,0,20190719,20190719
2773281,0,0,0,0,0,0,0,20190122,20190528
2773280,0,0,0,0,0,0,0,20190707,20190707
2773285,0,0,0,0,0,0,0,20190225,20190627
12773292,0,0,0,0,0,0,0,20190302,20190629
2773284,0,0,0,0,0,0,0,20190701,20190711
2773283,0,0,0,0,0,0,0,20190715,20190718
2773282,0,0,0,0,0,0,0,20190621,20190621
2773289,0,0,0,0,0,0,0,20190125,20190529
2773288,0,0,0,0,0,0,0,20190531,20190712
2773287,0,0,0,0,0,0,0,20190706,20190720
12773290,0,0,0,0,0,0,0,20190720,20190720
2773286,0,0,0,0,0,0,0,20190126,20190629
12773287,0,0,0,0,0,0,0,20190707,20190721
12773288,0,0,0,0,0,0,0,20190601,20190713
12773285,0,0,0,0,0,0,0,20190226,20190628
12773286,0,0,0,0,0,0,0,20190127,20190630
12773289,0,0,0,0,0,0,0,20190126,20190530
12773280,0,0,0,0,0,0,0,20190708,20190708
12773284,0,0,0,0,0,0,0,20190702,20190712
12773283,0,0,0,0,0,0,0,20190716,20190719
12773282,0,0,0,0,0,0,0,20190622,20190622
2773278,0,0,0,0,0,0,0,20190127,20190630
12773281,0,0,0,0,0,0,0,20190123,20190529
