service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773295,0,0,0,0,0,0,0,20190602,20190707
2773296,0,0,0,0,0,0,0,20190122,20190418
2773293,0,0,0,0,0,0,0,20190421,20190421
2773300,0,0,0,0,0,0,0,20190126,20190525
2773294,0,0,0,0,0,0,0,20190127,20190530
12773296,0,0,0,0,0,0,0,20190123,20190419
12773297,0,0,0,0,0,0,0,20190226,20190628
12773298,0,0,0,0,0,0,0,20190702,20190719
2773297,0,0,0,0,0,0,0,20190225,20190627
2773298,0,0,0,0,0,0,0,20190701,20190718
12773304,0,0,0,0,0,0,0,20190601,20190720
12773293,0,0,0,0,0,0,0,20190422,20190422
2773303,0,0,0,0,0,0,0,20190301,20190628
2773304,0,0,0,0,0,0,0,20190531,20190719
2773301,0,0,0,0,0,0,0,20190601,20190720
12773295,0,0,0,0,0,0,0,20190603,20190708
12773294,0,0,0,0,0,0,0,20190128,20190531
2773302,0,0,0,0,0,0,0,20190125,20190419
12773301,0,0,0,0,0,0,0,20190602,20190721
12773300,0,0,0,0,0,0,0,20190127,20190526
12773303,0,0,0,0,0,0,0,20190302,20190629
12773302,0,0,0,0,0,0,0,20190126,20190420
